GA,Date,URL,Volume Title,Lecture Title,Translator Name,Original Language
175,27/02/1917,http://daniel-zahavi.co.il/%d7%9e%d7%98%d7%9e%d7%95%d7%a8%d7%a4%d7%95%d7%96%d7%95%d7%aa-%d7%a7%d7%95%d7%a1%d7%9e%d7%99%d7%95%d7%aa-%d7%95%d7%90%d7%a0%d7%95%d7%a9%d7%99%d7%95%d7%aa-04/,מטמורפוזות קוסמיות ואנושיות,המוסר ככוח מנביט,מרים פטרי,אנגלית
175,06/03/1917,http://daniel-zahavi.co.il/%d7%9e%d7%98%d7%9e%d7%95%d7%a8%d7%a4%d7%95%d7%96%d7%95%d7%aa-%d7%a7%d7%95%d7%a1%d7%9e%d7%99%d7%95%d7%aa-%d7%95%d7%90%d7%a0%d7%95%d7%a9%d7%99%d7%95%d7%aa-05/,מטמורפוזות קוסמיות ואנושיות,הנפש האנושית והיקום,מרים פטרי,אנגלית
175,13/03/1917,http://daniel-zahavi.co.il/%d7%9e%d7%98%d7%9e%d7%95%d7%a8%d7%a4%d7%95%d7%96%d7%95%d7%aa-%d7%a7%d7%95%d7%a1%d7%9e%d7%99%d7%95%d7%aa-%d7%95%d7%90%d7%a0%d7%95%d7%a9%d7%99%d7%95%d7%aa-06/,מטמורפוזות קוסמיות ואנושיות,האדם והספרה העל-ארצית,מרים פטרי,אנגלית
175,20/03/1917,http://daniel-zahavi.co.il/%d7%9e%d7%98%d7%9e%d7%95%d7%a8%d7%a4%d7%95%d7%96%d7%95%d7%aa-%d7%a7%d7%95%d7%a1%d7%9e%d7%99%d7%95%d7%aa-%d7%95%d7%90%d7%a0%d7%95%d7%a9%d7%99%d7%95%d7%aa-07/,טעויות ואמיתות,None,מרים פטרי,אנגלית
175,27/03/1917,http://daniel-zahavi.co.il/%d7%90%d7%91%d7%a0%d7%99-%d7%99%d7%a1%d7%95%d7%93-%d7%9c%d7%94%d7%91%d7%a0%d7%aa-%d7%94%d7%9e%d7%99%d7%a1%d7%98%d7%a8%d7%99%d7%94-%d7%a9%d7%9c-%d7%92%d7%95%d7%9c%d7%92%d7%95%d7%9c%d7%aa%d7%90-01/,אבני יסוד להבנת המיסטריה של גולגותא,None,מרים פטרי,אנגלית
175,03/04/1917,http://daniel-zahavi.co.il/%d7%90%d7%91%d7%a0%d7%99-%d7%99%d7%a1%d7%95%d7%93-%d7%9c%d7%94%d7%91%d7%a0%d7%aa-%d7%94%d7%9e%d7%99%d7%a1%d7%98%d7%a8%d7%99%d7%94-%d7%a9%d7%9c-%d7%92%d7%95%d7%9c%d7%92%d7%95%d7%9c%d7%aa%d7%90/,אבני יסוד להבנת המיסטריה של גולגותא,None,מרים פטרי,אנגלית
175,10/04/1917,http://daniel-zahavi.co.il/%d7%90%d7%91%d7%a0%d7%99-%d7%99%d7%a1%d7%95%d7%93-%d7%9c%d7%94%d7%91%d7%a0%d7%aa-%d7%94%d7%9e%d7%99%d7%a1%d7%98%d7%a8%d7%99%d7%94-%d7%a9%d7%9c-%d7%92%d7%95%d7%9c%d7%92%d7%95%d7%9c%d7%aa%d7%90-2/,אבני יסוד להבנת המיסטריה של גולגותא,None,מרים פטרי,אנגלית
175,12/04/1917,http://daniel-zahavi.co.il/%d7%90%d7%91%d7%a0%d7%99-%d7%99%d7%a1%d7%95%d7%93-%d7%9c%d7%94%d7%91%d7%a0%d7%aa-%d7%94%d7%9e%d7%99%d7%a1%d7%98%d7%a8%d7%99%d7%94-%d7%a9%d7%9c-%d7%92%d7%95%d7%9c%d7%92%d7%95%d7%9c%d7%aa%d7%90-3/,אבני יסוד להבנת המיסטריה של גולגותא,None,מרים פטרי,אנגלית
175,14/04/1917,http://daniel-zahavi.co.il/%d7%90%d7%91%d7%a0%d7%99-%d7%99%d7%a1%d7%95%d7%93-%d7%9c%d7%94%d7%91%d7%a0%d7%aa-%d7%94%d7%9e%d7%99%d7%a1%d7%98%d7%a8%d7%99%d7%94-%d7%a9%d7%9c-%d7%92%d7%95%d7%9c%d7%92%d7%95%d7%9c%d7%aa%d7%90-4/,אבני יסוד להבנת המיסטריה של גולגותא,None,מרים פטרי,אנגלית
175,17/04/1917,http://daniel-zahavi.co.il/%d7%90%d7%91%d7%a0%d7%99-%d7%99%d7%a1%d7%95%d7%93-%d7%9c%d7%94%d7%91%d7%a0%d7%aa-%d7%94%d7%9e%d7%99%d7%a1%d7%98%d7%a8%d7%99%d7%94-%d7%a9%d7%9c-%d7%92%d7%95%d7%9c%d7%92%d7%95%d7%9c%d7%aa%d7%90-5/,אבני יסוד להבנת המיסטריה של גולגותא,None,מרים פטרי,אנגלית
175,19/04/1917,http://daniel-zahavi.co.il/%d7%90%d7%91%d7%a0%d7%99-%d7%99%d7%a1%d7%95%d7%93-%d7%9c%d7%94%d7%91%d7%a0%d7%aa-%d7%94%d7%9e%d7%99%d7%a1%d7%98%d7%a8%d7%99%d7%94-%d7%a9%d7%9c-%d7%92%d7%95%d7%9c%d7%92%d7%95%d7%9c%d7%aa%d7%90-6/,אבני יסוד להבנת המיסטריה של גולגולתא,None,מרים פטרי,אנגלית
175,24/04/1917,http://daniel-zahavi.co.il/%d7%90%d7%91%d7%a0%d7%99-%d7%99%d7%a1%d7%95%d7%93-%d7%9c%d7%94%d7%91%d7%a0%d7%aa-%d7%94%d7%9e%d7%99%d7%a1%d7%98%d7%a8%d7%99%d7%94-%d7%a9%d7%9c-%d7%92%d7%95%d7%9c%d7%92%d7%95%d7%9c%d7%aa%d7%90-7/,אבני יסוד להבנת המיסטריה של גולגותא,None,מרים פטרי,אנגלית
